time,method,number of record,elapsed time
2021/08/12 22:31:18,GET,4344000,3
2021/08/12 22:31:38,GET,4345000,4
2021/08/12 22:31:58,GET,4346000,3
2021/08/12 22:32:18,GET,4347000,3
2021/08/12 22:32:37,GET,4348000,3
2021/08/12 22:32:56,GET,4349000,3
2021/08/12 22:33:15,GET,4350000,4
2021/08/12 22:33:34,GET,4351000,3
2021/08/12 22:33:52,GET,4352000,3
2021/08/12 22:34:11,GET,4353000,3
2021/08/12 22:34:29,GET,4354000,3
2021/08/12 22:34:47,GET,4355000,3
2021/08/12 22:35:06,GET,4356000,4
2021/08/12 22:35:26,GET,4357000,3
2021/08/12 22:35:43,GET,4358000,3
2021/08/12 22:36:02,GET,4359000,2
2021/08/12 22:36:20,GET,4360000,4
2021/08/12 22:36:39,GET,4361000,3
2021/08/12 22:36:57,GET,4362000,3
2021/08/12 22:37:15,GET,4363000,4
2021/08/12 22:37:34,GET,4364000,3
2021/08/12 22:37:53,GET,4365000,11
2021/08/12 22:38:13,GET,4366000,3
2021/08/12 22:38:33,GET,4367000,3
2021/08/12 22:38:52,GET,4368000,4
2021/08/12 22:39:10,GET,4369000,3
2021/08/12 22:39:29,GET,4370000,3
2021/08/12 22:39:48,GET,4371000,3
2021/08/12 22:40:07,GET,4372000,2
2021/08/12 22:40:25,GET,4373000,2
2021/08/12 22:40:42,GET,4374000,3
2021/08/12 22:41:01,GET,4375000,3
2021/08/12 22:41:19,GET,4376000,3
2021/08/12 22:41:37,GET,4377000,3
2021/08/12 22:41:56,GET,4378000,3
2021/08/12 22:42:15,GET,4379000,3
2021/08/12 22:42:33,GET,4380000,3
2021/08/12 22:42:52,GET,4381000,3
2021/08/12 22:43:09,GET,4382000,3
2021/08/12 22:43:28,GET,4383000,2
2021/08/12 22:43:48,GET,4384000,4
2021/08/12 22:44:08,GET,4385000,3
2021/08/12 22:44:27,GET,4386000,3
2021/08/12 22:44:47,GET,4387000,4
2021/08/12 22:45:07,GET,4388000,4
2021/08/12 22:45:25,GET,4389000,3
2021/08/12 22:45:44,GET,4390000,4
2021/08/12 22:46:02,GET,4391000,3
2021/08/12 22:46:22,GET,4392000,4
2021/08/12 22:46:41,GET,4393000,3
2021/08/12 22:46:59,GET,4394000,4
2021/08/12 22:47:17,GET,4395000,3
2021/08/12 22:47:36,GET,4396000,4
2021/08/12 22:47:56,GET,4397000,4
2021/08/12 22:48:15,GET,4398000,4
2021/08/12 22:48:33,GET,4399000,3
2021/08/12 22:48:51,GET,4400000,3
2021/08/12 22:49:08,GET,4401000,2
2021/08/12 22:49:28,GET,4402000,4
2021/08/12 22:49:48,GET,4403000,4
2021/08/12 22:50:07,GET,4404000,3
2021/08/12 22:50:25,GET,4405000,3
2021/08/12 22:50:43,GET,4406000,3
2021/08/12 22:51:01,GET,4407000,4
2021/08/12 22:51:19,GET,4408000,3
2021/08/12 22:51:38,GET,4409000,4
2021/08/12 22:51:56,GET,4410000,4
2021/08/12 22:52:15,GET,4411000,3
2021/08/12 22:52:33,GET,4412000,4
2021/08/12 22:52:53,GET,4413000,4
2021/08/12 22:53:11,GET,4414000,3
2021/08/12 22:53:29,GET,4415000,3
2021/08/12 22:53:50,GET,4416000,4
2021/08/12 22:54:09,GET,4417000,3
2021/08/12 22:54:29,GET,4418000,3
2021/08/12 22:54:48,GET,4419000,4
2021/08/12 22:55:06,GET,4420000,2
2021/08/12 22:55:25,GET,4421000,3
2021/08/12 22:55:44,GET,4422000,3
2021/08/12 22:56:02,GET,4423000,3
2021/08/12 22:56:20,GET,4424000,4
2021/08/12 22:56:39,GET,4425000,4
2021/08/12 22:56:58,GET,4426000,3
2021/08/12 22:57:15,GET,4427000,2
2021/08/12 22:57:33,GET,4428000,3
2021/08/12 22:57:52,GET,4429000,3
2021/08/12 22:58:09,GET,4430000,3
2021/08/12 22:58:27,GET,4431000,3
2021/08/12 22:58:46,GET,4432000,3
2021/08/12 22:59:04,GET,4433000,3
2021/08/12 22:59:24,GET,4434000,4
2021/08/12 22:59:44,GET,4435000,4
2021/08/12 23:00:04,GET,4436000,4
2021/08/12 23:00:23,GET,4437000,4
2021/08/12 23:00:43,GET,4438000,4
2021/08/12 23:01:03,GET,4439000,4
2021/08/12 23:01:21,GET,4440000,3
2021/08/12 23:01:39,GET,4441000,4
2021/08/12 23:01:57,GET,4442000,4
2021/08/12 23:02:16,GET,4443000,3
2021/08/12 23:02:34,GET,4444000,3
2021/08/12 23:02:52,GET,4445000,3
2021/08/12 23:03:10,GET,4446000,3
2021/08/12 23:03:29,GET,4447000,4
2021/08/12 23:03:47,GET,4448000,4
2021/08/12 23:04:06,GET,4449000,3
2021/08/12 23:04:25,GET,4450000,3
2021/08/12 23:04:43,GET,4451000,3
2021/08/12 23:05:01,GET,4452000,3
2021/08/12 23:05:22,GET,4453000,4
2021/08/12 23:05:41,GET,4454000,4
2021/08/12 23:06:00,GET,4455000,3
2021/08/12 23:06:18,GET,4456000,2
2021/08/12 23:06:36,GET,4457000,2
2021/08/12 23:06:54,GET,4458000,3
2021/08/12 23:07:11,GET,4459000,3
2021/08/12 23:07:29,GET,4460000,3
2021/08/12 23:07:47,GET,4461000,3
2021/08/12 23:08:06,GET,4462000,3
2021/08/12 23:08:26,GET,4463000,3
2021/08/12 23:08:45,GET,4464000,3
2021/08/12 23:09:02,GET,4465000,3
2021/08/12 23:09:21,GET,4466000,3
2021/08/12 23:09:41,GET,4467000,3
2021/08/12 23:09:59,GET,4468000,3
2021/08/12 23:10:18,GET,4469000,5
2021/08/12 23:10:35,GET,4470000,10
2021/08/12 23:10:53,GET,4471000,3
2021/08/12 23:11:14,GET,4472000,3
2021/08/12 23:11:33,GET,4473000,3
2021/08/12 23:11:53,GET,4474000,3
2021/08/12 23:12:11,GET,4475000,4
2021/08/12 23:12:28,GET,4476000,3
2021/08/12 23:12:47,GET,4477000,3
2021/08/12 23:13:04,GET,4478000,3
2021/08/12 23:13:23,GET,4479000,3
2021/08/12 23:13:41,GET,4480000,3
2021/08/12 23:14:00,GET,4481000,5
2021/08/12 23:14:18,GET,4482000,3
2021/08/12 23:14:36,GET,4483000,4
2021/08/12 23:14:54,GET,4484000,3
2021/08/12 23:15:12,GET,4485000,4
2021/08/12 23:15:30,GET,4486000,3
2021/08/12 23:15:48,GET,4487000,3
2021/08/12 23:16:07,GET,4488000,3
2021/08/12 23:16:27,GET,4489000,3
2021/08/12 23:16:46,GET,4490000,3
2021/08/12 23:17:06,GET,4491000,4
2021/08/12 23:17:25,GET,4492000,3
2021/08/12 23:17:43,GET,4493000,3
2021/08/12 23:18:01,GET,4494000,3
2021/08/12 23:18:19,GET,4495000,2
2021/08/12 23:18:37,GET,4496000,2
2021/08/12 23:18:56,GET,4497000,3
2021/08/12 23:19:14,GET,4498000,3
2021/08/12 23:19:34,GET,4499000,4
2021/08/12 23:19:53,GET,4500000,4
2021/08/12 23:20:12,GET,4501000,3
2021/08/12 23:20:30,GET,4502000,3
2021/08/12 23:20:49,GET,4503000,4
2021/08/12 23:21:09,GET,4504000,3
2021/08/12 23:21:26,GET,4505000,3
2021/08/12 23:21:46,GET,4506000,4
2021/08/12 23:22:04,GET,4507000,4
2021/08/12 23:22:22,GET,4508000,3
2021/08/12 23:22:42,GET,4509000,4
2021/08/12 23:23:03,GET,4510000,3
2021/08/12 23:23:23,GET,4511000,4
2021/08/12 23:23:41,GET,4512000,3
2021/08/12 23:24:00,GET,4513000,4
2021/08/12 23:24:18,GET,4514000,3
2021/08/12 23:24:36,GET,4515000,3
2021/08/12 23:24:55,GET,4516000,3
2021/08/12 23:25:13,GET,4517000,4
2021/08/12 23:25:31,GET,4518000,3
2021/08/12 23:25:48,GET,4519000,3
2021/08/12 23:26:05,GET,4520000,3
2021/08/12 23:26:24,GET,4521000,3
2021/08/12 23:26:42,GET,4522000,4
2021/08/12 23:27:01,GET,4523000,4
2021/08/12 23:27:18,GET,4524000,3
2021/08/12 23:27:37,GET,4525000,4
2021/08/12 23:27:56,GET,4526000,4
2021/08/12 23:28:16,GET,4527000,4
2021/08/12 23:28:36,GET,4528000,3
2021/08/12 23:28:56,GET,4529000,3
2021/08/12 23:29:15,GET,4530000,3
2021/08/12 23:29:34,GET,4531000,3
2021/08/12 23:29:53,GET,4532000,5
2021/08/12 23:30:13,GET,4533000,3
2021/08/12 23:30:32,GET,4534000,3
2021/08/12 23:30:50,GET,4535000,3
2021/08/12 23:31:08,GET,4536000,3
2021/08/12 23:31:26,GET,4537000,3
2021/08/12 23:31:44,GET,4538000,3
2021/08/12 23:32:02,GET,4539000,2
2021/08/12 23:32:20,GET,4540000,3
2021/08/12 23:32:37,GET,4541000,3
2021/08/12 23:32:56,GET,4542000,3
2021/08/12 23:33:18,GET,4543000,3
2021/08/12 23:33:37,GET,4544000,4
2021/08/12 23:33:54,GET,4545000,3
2021/08/12 23:34:12,GET,4546000,3
2021/08/12 23:34:29,GET,4547000,2
2021/08/12 23:34:46,GET,4548000,4
2021/08/12 23:35:05,GET,4549000,4
2021/08/12 23:35:23,GET,4550000,2
2021/08/12 23:35:41,GET,4551000,3
2021/08/12 23:35:59,GET,4552000,2
2021/08/12 23:36:18,GET,4553000,2
