time,method,number of record,elapsed time
2021/08/12 22:31:18,POST,4344000,13
2021/08/12 22:31:38,POST,4345000,16
2021/08/12 22:31:58,POST,4346000,20
2021/08/12 22:32:18,POST,4347000,14
2021/08/12 22:32:37,POST,4348000,15
2021/08/12 22:32:56,POST,4349000,16
2021/08/12 22:33:15,POST,4350000,15
2021/08/12 22:33:34,POST,4351000,16
2021/08/12 22:33:52,POST,4352000,16
2021/08/12 22:34:11,POST,4353000,17
2021/08/12 22:34:29,POST,4354000,15
2021/08/12 22:34:47,POST,4355000,16
2021/08/12 22:35:06,POST,4356000,31
2021/08/12 22:35:26,POST,4357000,16
2021/08/12 22:35:43,POST,4358000,17
2021/08/12 22:36:02,POST,4359000,15
2021/08/12 22:36:20,POST,4360000,15
2021/08/12 22:36:39,POST,4361000,14
2021/08/12 22:36:57,POST,4362000,15
2021/08/12 22:37:15,POST,4363000,16
2021/08/12 22:37:34,POST,4364000,17
2021/08/12 22:37:53,POST,4365000,38
2021/08/12 22:38:13,POST,4366000,14
2021/08/12 22:38:33,POST,4367000,15
2021/08/12 22:38:52,POST,4368000,22
2021/08/12 22:39:10,POST,4369000,15
2021/08/12 22:39:29,POST,4370000,16
2021/08/12 22:39:48,POST,4371000,14
2021/08/12 22:40:07,POST,4372000,16
2021/08/12 22:40:25,POST,4373000,13
2021/08/12 22:40:42,POST,4374000,16
2021/08/12 22:41:01,POST,4375000,15
2021/08/12 22:41:19,POST,4376000,14
2021/08/12 22:41:37,POST,4377000,15
2021/08/12 22:41:56,POST,4378000,17
2021/08/12 22:42:15,POST,4379000,16
2021/08/12 22:42:33,POST,4380000,16
2021/08/12 22:42:52,POST,4381000,15
2021/08/12 22:43:09,POST,4382000,12
2021/08/12 22:43:28,POST,4383000,15
2021/08/12 22:43:48,POST,4384000,13
2021/08/12 22:44:08,POST,4385000,15
2021/08/12 22:44:27,POST,4386000,22
2021/08/12 22:44:47,POST,4387000,16
2021/08/12 22:45:07,POST,4388000,15
2021/08/12 22:45:25,POST,4389000,16
2021/08/12 22:45:44,POST,4390000,13
2021/08/12 22:46:02,POST,4391000,13
2021/08/12 22:46:22,POST,4392000,17
2021/08/12 22:46:41,POST,4393000,17
2021/08/12 22:46:59,POST,4394000,13
2021/08/12 22:47:17,POST,4395000,15
2021/08/12 22:47:36,POST,4396000,14
2021/08/12 22:47:56,POST,4397000,16
2021/08/12 22:48:15,POST,4398000,15
2021/08/12 22:48:33,POST,4399000,16
2021/08/12 22:48:51,POST,4400000,16
2021/08/12 22:49:08,POST,4401000,15
2021/08/12 22:49:28,POST,4402000,14
2021/08/12 22:49:48,POST,4403000,15
2021/08/12 22:50:07,POST,4404000,14
2021/08/12 22:50:25,POST,4405000,19
2021/08/12 22:50:43,POST,4406000,16
2021/08/12 22:51:01,POST,4407000,16
2021/08/12 22:51:19,POST,4408000,17
2021/08/12 22:51:38,POST,4409000,16
2021/08/12 22:51:56,POST,4410000,16
2021/08/12 22:52:15,POST,4411000,14
2021/08/12 22:52:33,POST,4412000,16
2021/08/12 22:52:53,POST,4413000,16
2021/08/12 22:53:11,POST,4414000,17
2021/08/12 22:53:29,POST,4415000,13
2021/08/12 22:53:50,POST,4416000,15
2021/08/12 22:54:09,POST,4417000,17
2021/08/12 22:54:29,POST,4418000,15
2021/08/12 22:54:48,POST,4419000,17
2021/08/12 22:55:06,POST,4420000,15
2021/08/12 22:55:25,POST,4421000,29
2021/08/12 22:55:44,POST,4422000,16
2021/08/12 22:56:02,POST,4423000,15
2021/08/12 22:56:20,POST,4424000,18
2021/08/12 22:56:39,POST,4425000,15
2021/08/12 22:56:58,POST,4426000,16
2021/08/12 22:57:15,POST,4427000,15
2021/08/12 22:57:33,POST,4428000,15
2021/08/12 22:57:52,POST,4429000,17
2021/08/12 22:58:09,POST,4430000,13
2021/08/12 22:58:27,POST,4431000,26
2021/08/12 22:58:46,POST,4432000,15
2021/08/12 22:59:04,POST,4433000,15
2021/08/12 22:59:24,POST,4434000,24
2021/08/12 22:59:44,POST,4435000,14
2021/08/12 23:00:04,POST,4436000,16
2021/08/12 23:00:23,POST,4437000,13
2021/08/12 23:00:43,POST,4438000,16
2021/08/12 23:01:03,POST,4439000,15
2021/08/12 23:01:21,POST,4440000,15
2021/08/12 23:01:39,POST,4441000,14
2021/08/12 23:01:57,POST,4442000,18
2021/08/12 23:02:16,POST,4443000,14
2021/08/12 23:02:34,POST,4444000,15
2021/08/12 23:02:52,POST,4445000,14
2021/08/12 23:03:10,POST,4446000,29
2021/08/12 23:03:29,POST,4447000,15
2021/08/12 23:03:47,POST,4448000,15
2021/08/12 23:04:06,POST,4449000,16
2021/08/12 23:04:25,POST,4450000,15
2021/08/12 23:04:43,POST,4451000,15
2021/08/12 23:05:01,POST,4452000,13
2021/08/12 23:05:22,POST,4453000,16
2021/08/12 23:05:41,POST,4454000,16
2021/08/12 23:06:00,POST,4455000,14
2021/08/12 23:06:18,POST,4456000,15
2021/08/12 23:06:36,POST,4457000,17
2021/08/12 23:06:54,POST,4458000,17
2021/08/12 23:07:11,POST,4459000,15
2021/08/12 23:07:29,POST,4460000,15
2021/08/12 23:07:47,POST,4461000,25
2021/08/12 23:08:06,POST,4462000,14
2021/08/12 23:08:26,POST,4463000,16
2021/08/12 23:08:45,POST,4464000,16
2021/08/12 23:09:02,POST,4465000,15
2021/08/12 23:09:21,POST,4466000,15
2021/08/12 23:09:41,POST,4467000,14
2021/08/12 23:09:59,POST,4468000,15
2021/08/12 23:10:18,POST,4469000,14
2021/08/12 23:10:35,POST,4470000,16
2021/08/12 23:10:53,POST,4471000,17
2021/08/12 23:11:14,POST,4472000,15
2021/08/12 23:11:33,POST,4473000,15
2021/08/12 23:11:53,POST,4474000,16
2021/08/12 23:12:11,POST,4475000,17
2021/08/12 23:12:28,POST,4476000,14
2021/08/12 23:12:47,POST,4477000,14
2021/08/12 23:13:04,POST,4478000,14
2021/08/12 23:13:23,POST,4479000,15
2021/08/12 23:13:41,POST,4480000,16
2021/08/12 23:14:00,POST,4481000,14
2021/08/12 23:14:18,POST,4482000,17
2021/08/12 23:14:36,POST,4483000,13
2021/08/12 23:14:54,POST,4484000,16
2021/08/12 23:15:12,POST,4485000,16
2021/08/12 23:15:30,POST,4486000,16
2021/08/12 23:15:48,POST,4487000,15
2021/08/12 23:16:07,POST,4488000,17
2021/08/12 23:16:27,POST,4489000,16
2021/08/12 23:16:46,POST,4490000,25
2021/08/12 23:17:06,POST,4491000,15
2021/08/12 23:17:25,POST,4492000,16
2021/08/12 23:17:43,POST,4493000,15
2021/08/12 23:18:01,POST,4494000,14
2021/08/12 23:18:19,POST,4495000,16
2021/08/12 23:18:37,POST,4496000,15
2021/08/12 23:18:56,POST,4497000,15
2021/08/12 23:19:14,POST,4498000,13
2021/08/12 23:19:34,POST,4499000,15
2021/08/12 23:19:53,POST,4500000,15
2021/08/12 23:20:12,POST,4501000,15
2021/08/12 23:20:30,POST,4502000,14
2021/08/12 23:20:49,POST,4503000,16
2021/08/12 23:21:09,POST,4504000,15
2021/08/12 23:21:26,POST,4505000,15
2021/08/12 23:21:46,POST,4506000,14
2021/08/12 23:22:04,POST,4507000,16
2021/08/12 23:22:22,POST,4508000,15
2021/08/12 23:22:42,POST,4509000,15
2021/08/12 23:23:03,POST,4510000,17
2021/08/12 23:23:23,POST,4511000,17
2021/08/12 23:23:41,POST,4512000,16
2021/08/12 23:24:00,POST,4513000,18
2021/08/12 23:24:18,POST,4514000,17
2021/08/12 23:24:36,POST,4515000,14
2021/08/12 23:24:55,POST,4516000,17
2021/08/12 23:25:13,POST,4517000,15
2021/08/12 23:25:31,POST,4518000,15
2021/08/12 23:25:48,POST,4519000,14
2021/08/12 23:26:05,POST,4520000,16
2021/08/12 23:26:24,POST,4521000,17
2021/08/12 23:26:42,POST,4522000,18
2021/08/12 23:27:01,POST,4523000,16
2021/08/12 23:27:18,POST,4524000,16
2021/08/12 23:27:37,POST,4525000,15
2021/08/12 23:27:56,POST,4526000,16
2021/08/12 23:28:16,POST,4527000,14
2021/08/12 23:28:36,POST,4528000,16
2021/08/12 23:28:56,POST,4529000,16
2021/08/12 23:29:15,POST,4530000,16
