time,method,number of record,elapsed time
2021/08/08 13:10:00,GET,0,574
2021/08/08 13:10:31,GET,1000,4
2021/08/08 13:11:06,GET,2000,3
2021/08/08 13:11:33,GET,3000,4
2021/08/08 13:12:03,GET,4000,3
2021/08/08 13:12:39,GET,5000,4
2021/08/08 13:13:13,GET,6000,4
2021/08/08 13:13:39,GET,7000,2
2021/08/08 13:14:13,GET,8000,4
2021/08/08 13:14:47,GET,9000,3
2021/08/08 13:15:25,GET,10000,11
2021/08/08 13:15:53,GET,11000,3
2021/08/08 13:16:20,GET,12000,4
2021/08/08 13:16:43,GET,13000,4
2021/08/08 13:17:10,GET,14000,5
2021/08/08 13:17:42,GET,15000,3
2021/08/08 13:18:07,GET,16000,4
2021/08/08 13:18:32,GET,17000,5
2021/08/08 13:19:02,GET,18000,6
2021/08/08 13:19:30,GET,19000,3
2021/08/08 13:19:59,GET,20000,3
2021/08/08 13:20:44,GET,21000,2
2021/08/08 13:21:05,GET,22000,4
2021/08/08 13:21:42,GET,23000,3
2021/08/08 13:22:06,GET,24000,4
2021/08/08 13:22:40,GET,25000,2
2021/08/08 13:23:06,GET,26000,3
2021/08/08 13:23:33,GET,27000,6
2021/08/08 13:24:01,GET,28000,4
2021/08/08 13:24:28,GET,29000,4
2021/08/08 13:24:54,GET,30000,3
2021/08/08 13:25:25,GET,31000,4
2021/08/08 13:25:56,GET,32000,4
2021/08/08 13:26:32,GET,33000,6
2021/08/08 13:27:00,GET,34000,3
2021/08/08 13:27:29,GET,35000,4
2021/08/08 13:28:05,GET,36000,2
2021/08/08 13:28:33,GET,37000,4
2021/08/08 13:29:09,GET,38000,5
2021/08/08 13:29:44,GET,39000,4
2021/08/08 13:30:14,GET,40000,4
2021/08/08 13:30:51,GET,41000,4
2021/08/08 13:31:22,GET,42000,4
2021/08/08 13:31:48,GET,43000,5
2021/08/08 13:32:16,GET,44000,3
2021/08/08 13:32:45,GET,45000,3
2021/08/08 13:33:16,GET,46000,3
2021/08/08 13:33:46,GET,47000,3
2021/08/08 13:34:15,GET,48000,5
2021/08/08 13:34:44,GET,49000,3
2021/08/08 13:35:13,GET,50000,7
2021/08/08 13:35:52,GET,51000,4
2021/08/08 13:36:26,GET,52000,4
2021/08/08 13:37:01,GET,53000,7
2021/08/08 13:37:31,GET,54000,4
2021/08/08 13:37:59,GET,55000,4
2021/08/08 13:38:36,GET,56000,4
2021/08/08 13:39:08,GET,57000,3
2021/08/08 13:39:30,GET,58000,3
2021/08/08 13:39:58,GET,59000,4
2021/08/08 13:40:27,GET,60000,3
2021/08/08 13:41:03,GET,61000,4
