time,method,number of record,elapsed time
2021/08/08 13:10:00,POST,0,592
2021/08/08 13:10:31,POST,1000,18
2021/08/08 13:11:06,POST,2000,14
2021/08/08 13:11:33,POST,3000,19
2021/08/08 13:12:03,POST,4000,17
2021/08/08 13:12:39,POST,5000,18
2021/08/08 13:13:13,POST,6000,17
2021/08/08 13:13:39,POST,7000,16
2021/08/08 13:14:13,POST,8000,17
2021/08/08 13:14:46,POST,9000,15
2021/08/08 13:15:25,POST,10000,15
2021/08/08 13:15:53,POST,11000,17
2021/08/08 13:16:20,POST,12000,19
2021/08/08 13:16:43,POST,13000,16
2021/08/08 13:17:10,POST,14000,23
2021/08/08 13:17:42,POST,15000,18
2021/08/08 13:18:07,POST,16000,19
2021/08/08 13:18:32,POST,17000,20
2021/08/08 13:19:02,POST,18000,18
2021/08/08 13:19:30,POST,19000,17
2021/08/08 13:19:59,POST,20000,19
2021/08/08 13:20:44,POST,21000,15
2021/08/08 13:21:05,POST,22000,19
2021/08/08 13:21:42,POST,23000,18
2021/08/08 13:22:06,POST,24000,18
2021/08/08 13:22:40,POST,25000,15
2021/08/08 13:23:06,POST,26000,16
2021/08/08 13:23:33,POST,27000,31
2021/08/08 13:24:01,POST,28000,23
2021/08/08 13:24:28,POST,29000,20
2021/08/08 13:24:54,POST,30000,16
2021/08/08 13:25:25,POST,31000,22
2021/08/08 13:25:56,POST,32000,23
2021/08/08 13:26:32,POST,33000,26
2021/08/08 13:27:00,POST,34000,18
2021/08/08 13:27:29,POST,35000,33
2021/08/08 13:28:05,POST,36000,20
2021/08/08 13:28:33,POST,37000,23
2021/08/08 13:29:09,POST,38000,18
2021/08/08 13:29:44,POST,39000,24
2021/08/08 13:30:14,POST,40000,24
2021/08/08 13:30:51,POST,41000,24
2021/08/08 13:31:22,POST,42000,21
2021/08/08 13:31:48,POST,43000,20
2021/08/08 13:32:16,POST,44000,22
2021/08/08 13:32:45,POST,45000,20
2021/08/08 13:33:16,POST,46000,23
2021/08/08 13:33:46,POST,47000,19
2021/08/08 13:34:15,POST,48000,20
2021/08/08 13:34:44,POST,49000,20
2021/08/08 13:35:13,POST,50000,24
2021/08/08 13:35:52,POST,51000,23
2021/08/08 13:36:26,POST,52000,17
2021/08/08 13:37:01,POST,53000,35
2021/08/08 13:37:31,POST,54000,22
2021/08/08 13:37:59,POST,55000,21
2021/08/08 13:38:36,POST,56000,25
2021/08/08 13:39:08,POST,57000,20
2021/08/08 13:39:30,POST,58000,20
2021/08/08 13:39:58,POST,59000,21
2021/08/08 13:40:27,POST,60000,20
2021/08/08 13:41:03,POST,61000,22
