time,method,number of record,elapsed time
2021/08/08 13:10:00,POST,0,592
2021/08/08 13:10:04,POST,100,20
2021/08/08 13:10:06,POST,200,18
2021/08/08 13:10:08,POST,300,19
2021/08/08 13:10:11,POST,400,21
2021/08/08 13:10:13,POST,500,22
2021/08/08 13:10:16,POST,600,21
2021/08/08 13:10:20,POST,700,19
2021/08/08 13:10:24,POST,800,59
2021/08/08 13:10:29,POST,900,18
2021/08/08 13:10:31,POST,1000,18
2021/08/08 13:10:34,POST,1100,21
2021/08/08 13:10:36,POST,1200,17
2021/08/08 13:10:40,POST,1300,26
2021/08/08 13:10:43,POST,1400,20
2021/08/08 13:10:46,POST,1500,21
2021/08/08 13:10:49,POST,1600,22
2021/08/08 13:10:51,POST,1700,24
2021/08/08 13:10:54,POST,1800,134
2021/08/08 13:10:58,POST,1900,17
2021/08/08 13:11:06,POST,2000,14
2021/08/08 13:11:08,POST,2100,21
2021/08/08 13:11:11,POST,2200,20
2021/08/08 13:11:15,POST,2300,49
2021/08/08 13:11:17,POST,2400,18
2021/08/08 13:11:20,POST,2500,23
2021/08/08 13:11:22,POST,2600,21
2021/08/08 13:11:25,POST,2700,18
2021/08/08 13:11:28,POST,2800,20
2021/08/08 13:11:31,POST,2900,18
2021/08/08 13:11:33,POST,3000,19
2021/08/08 13:11:36,POST,3100,19
2021/08/08 13:11:38,POST,3200,23
2021/08/08 13:11:40,POST,3300,18
2021/08/08 13:11:43,POST,3400,18
2021/08/08 13:11:45,POST,3500,24
2021/08/08 13:11:48,POST,3600,22
2021/08/08 13:11:55,POST,3700,18
2021/08/08 13:11:58,POST,3800,18
2021/08/08 13:12:00,POST,3900,16
2021/08/08 13:12:03,POST,4000,17
2021/08/08 13:12:07,POST,4100,17
2021/08/08 13:12:09,POST,4200,20
2021/08/08 13:12:12,POST,4300,19
2021/08/08 13:12:15,POST,4400,132
2021/08/08 13:12:17,POST,4500,18
2021/08/08 13:12:20,POST,4600,16
2021/08/08 13:12:26,POST,4700,21
2021/08/08 13:12:29,POST,4800,29
2021/08/08 13:12:31,POST,4900,21
2021/08/08 13:12:39,POST,5000,18
2021/08/08 13:12:42,POST,5100,19
2021/08/08 13:12:45,POST,5200,17
2021/08/08 13:12:50,POST,5300,18
2021/08/08 13:12:53,POST,5400,20
2021/08/08 13:12:55,POST,5500,22
2021/08/08 13:13:03,POST,5600,17
2021/08/08 13:13:05,POST,5700,16
2021/08/08 13:13:07,POST,5800,17
2021/08/08 13:13:10,POST,5900,17
2021/08/08 13:13:13,POST,6000,17
2021/08/08 13:13:15,POST,6100,21
2021/08/08 13:13:17,POST,6200,17
2021/08/08 13:13:20,POST,6300,19
2021/08/08 13:13:23,POST,6400,24
2021/08/08 13:13:26,POST,6500,16
2021/08/08 13:13:29,POST,6600,17
2021/08/08 13:13:31,POST,6700,16
2021/08/08 13:13:33,POST,6800,18
2021/08/08 13:13:35,POST,6900,17
2021/08/08 13:13:39,POST,7000,16
2021/08/08 13:13:41,POST,7100,18
2021/08/08 13:13:44,POST,7200,18
2021/08/08 13:13:52,POST,7300,23
2021/08/08 13:13:57,POST,7400,17
2021/08/08 13:14:00,POST,7500,24
2021/08/08 13:14:03,POST,7600,18
2021/08/08 13:14:05,POST,7700,18
2021/08/08 13:14:08,POST,7800,62
2021/08/08 13:14:10,POST,7900,17
2021/08/08 13:14:13,POST,8000,17
2021/08/08 13:14:15,POST,8100,19
2021/08/08 13:14:18,POST,8200,20
2021/08/08 13:14:20,POST,8300,18
2021/08/08 13:14:25,POST,8400,82
2021/08/08 13:14:29,POST,8500,16
2021/08/08 13:14:32,POST,8600,18
2021/08/08 13:14:35,POST,8700,16
2021/08/08 13:14:39,POST,8800,16
2021/08/08 13:14:43,POST,8900,17
2021/08/08 13:14:46,POST,9000,15
2021/08/08 13:14:50,POST,9100,16
2021/08/08 13:14:52,POST,9200,27
2021/08/08 13:14:55,POST,9300,18
2021/08/08 13:14:57,POST,9400,19
