time,method,number of record,elapsed time
2021/8/8 13:10,GET,0,574
2021/8/8 13:10,GET,1000,4
2021/8/8 13:11,GET,2000,3
2021/8/8 13:11,GET,3000,4
2021/8/8 13:12,GET,4000,3
2021/8/8 13:12,GET,5000,4
2021/8/8 13:13,GET,6000,4
2021/8/8 13:13,GET,7000,2
2021/8/8 13:14,GET,8000,4
2021/8/8 13:14,GET,9000,3
2021/8/8 13:15,GET,10000,11
2021/8/8 13:15,GET,11000,3
2021/8/8 13:16,GET,12000,4
2021/8/8 13:16,GET,13000,4
2021/8/8 13:17,GET,14000,5
2021/8/8 13:17,GET,15000,3
2021/8/8 13:18,GET,16000,4
2021/8/8 13:18,GET,17000,5
2021/8/8 13:19,GET,18000,6
2021/8/8 13:19,GET,19000,3
2021/8/8 13:19,GET,20000,3
2021/8/8 13:20,GET,21000,2
2021/8/8 13:21,GET,22000,4
2021/8/8 13:21,GET,23000,3
2021/8/8 13:22,GET,24000,4
2021/8/8 13:22,GET,25000,2
2021/8/8 13:23,GET,26000,3
2021/8/8 13:23,GET,27000,6
2021/8/8 13:24,GET,28000,4
2021/8/8 13:24,GET,29000,4
2021/8/8 13:24,GET,30000,3
2021/8/8 13:25,GET,31000,4
2021/8/8 13:25,GET,32000,4
2021/8/8 13:26,GET,33000,6
2021/8/8 13:27,GET,34000,3
2021/8/8 13:27,GET,35000,4
2021/8/8 13:28,GET,36000,2
2021/8/8 13:28,GET,37000,4
2021/8/8 13:29,GET,38000,5
2021/8/8 13:29,GET,39000,4
2021/8/8 13:30,GET,40000,4
2021/8/8 13:30,GET,41000,4
2021/8/8 13:31,GET,42000,4
2021/8/8 13:31,GET,43000,5
2021/8/8 13:32,GET,44000,3
2021/8/8 13:32,GET,45000,3
2021/8/8 13:33,GET,46000,3
2021/8/8 13:33,GET,47000,3
2021/8/8 13:34,GET,48000,5
2021/8/8 13:34,GET,49000,3
2021/8/8 13:35,GET,50000,7
2021/8/8 13:35,GET,51000,4
2021/8/8 13:36,GET,52000,4
2021/8/8 13:37,GET,53000,7
2021/8/8 13:37,GET,54000,4
2021/8/8 13:37,GET,55000,4
2021/8/8 13:38,GET,56000,4
2021/8/8 13:39,GET,57000,3
2021/8/8 13:39,GET,58000,3
2021/8/8 13:39,GET,59000,4
2021/8/8 13:40,GET,60000,3
2021/8/8 13:41,GET,61000,4
2021/8/8 15:00,GET,62000,4
2021/8/8 15:01,GET,63000,4
2021/8/8 15:01,GET,64000,4
2021/8/8 15:02,GET,65000,3
2021/8/8 15:02,GET,66000,3
2021/8/8 15:02,GET,67000,5
2021/8/8 15:03,GET,68000,4
2021/8/8 15:03,GET,69000,4
2021/8/8 15:03,GET,70000,3
2021/8/8 15:04,GET,71000,4
2021/8/8 15:04,GET,72000,4
2021/8/8 15:04,GET,73000,3
2021/8/8 15:05,GET,74000,4
2021/8/8 15:05,GET,75000,4
2021/8/8 15:05,GET,76000,4
2021/8/8 15:06,GET,77000,3
2021/8/8 15:06,GET,78000,3
2021/8/8 15:07,GET,79000,5
2021/8/8 15:07,GET,80000,2
2021/8/8 15:07,GET,81000,4
2021/8/8 15:08,GET,82000,4
2021/8/8 15:08,GET,83000,4
2021/8/8 15:08,GET,84000,3
